测试套/软件包名,测试用例名,状态,与23RC1对比,日志文件,原因
arptables,oe_test_service_arptables,success,same,./oe-rv2309/mugen-riscv_rc5/logs/arptables/oe_test_service_arptables/2023-10-10-20_32_57.log,None
arpwatch,oe_test_service_arpwatch,success,same,./oe-rv2309/mugen-riscv_rc5/logs/arpwatch/oe_test_service_arpwatch/2023-10-11-12:30:37.log,None
asciidoc,oe_test_asciidoc_a2x_01,success,RC4fail,./oe-rv2309/mugen-riscv_rc5/logs/asciidoc/oe_test_asciidoc_a2x_01/2023-10-11-00:33:26.log,None
,oe_test_asciidoc_a2x_02,success,RC4fail,./oe-rv2309/mugen-riscv_rc5/logs/asciidoc/oe_test_asciidoc_a2x_02/2023-10-11-00:38:10.log,None
,oe_test_asciidoc_a2x_03,success,RC4fail,./oe-rv2309/mugen-riscv_rc5/logs/asciidoc/oe_test_asciidoc_a2x_03/2023-10-11-00:42:49.log,None
,oe_test_asciidoc_asciidoc_01,success,same,./oe-rv2309/mugen-riscv_rc5/logs/asciidoc/oe_test_asciidoc_asciidoc_01/2023-10-11-00:25:17.log,None
,oe_test_asciidoc_asciidoc_02,success,same,./oe-rv2309/mugen-riscv_rc5/logs/asciidoc/oe_test_asciidoc_asciidoc_02/2023-10-11-00:29:32.log,None
attr,oe_test_attr,success,same,./oe-rv2309/mugen-riscv_rc5/logs/attr/oe_test_attr/2023-10-11-02:07:57.log,None
audit,oe_test_service_auditd,fail,RC5fail,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_service_auditd/2023-10-11-16:08:09.log,
,oe_test_audit_ausearch,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_ausearch/2023-10-11-16:07:56.log,x86 fail
,oe_test_audit_fetch_file_in_order,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_fetch_file_in_order/2023-10-11-16:13:52.log,x86 fail
,oe_test_audit_monitor_do_command,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_monitor_do_command/2023-10-11-16:07:43.log,x86 fail
,oe_test_audit_monitor_system_use,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_monitor_system_use/2023-10-11-16:18:47.log,x86 fail
,oe_test_audit_rule_conflict_strategy,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_rule_conflict_strategy/2023-10-11-16:08:55.log,x86 fail
,oe_test_audit_use_d_audit,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_use_d_audit/2023-10-11-16:13:23.log,x86 fail
,oe_test_audit_user_build_connection,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_user_build_connection/2023-10-11-16:02:48.log,x86 fail
,oe_test_audit_max_log_file_syslog,success,RC4fail,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_max_log_file_syslog/2023-10-11-16:09:09.log,None
,oe_test_audit_use_w_audit,success,RC4fail,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_use_w_audit/2023-10-11-16:06:34.log,None
,oe_test_audit_available_disk_space,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_available_disk_space/2023-10-11-16:06:41.log,None
,oe_test_audit_count_number_of_event,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_count_number_of_event/2023-10-11-16:07:35.log,None
,oe_test_audit_count_time,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_count_time/2023-10-11-16:07:27.log,None
,oe_test_audit_event_log,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_event_log/2023-10-11-16:18:33.log,None
,oe_test_audit_max_log_file_ignore,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_max_log_file_ignore/2023-10-11-16:15:48.log,None
,oe_test_audit_max_log_file_keep_logs,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_max_log_file_keep_logs/2023-10-11-16:09:53.log,None
,oe_test_audit_max_log_file_rotate,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_max_log_file_rotate/2023-10-11-16:16:51.log,None
,oe_test_audit_max_log_file_suspend,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_max_log_file_suspend/2023-10-11-16:05:20.log,None
,oe_test_audit_monitor_dictionary_access,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_monitor_dictionary_access/2023-10-11-16:01:02.log,None
,oe_test_audit_monitor_file_access,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_monitor_file_access/2023-10-11-16:13:43.log,None
,oe_test_audit_monitor_network_visit,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_monitor_network_visit/2023-10-11-16:19:03.log,None
,oe_test_audit_monitor_security_event,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_monitor_security_event/2023-10-11-16:15:21.log,None
,oe_test_audit_other,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_other/2023-10-11-16:18:23.log,None
,oe_test_audit_rule_contact_strategy,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_rule_contact_strategy/2023-10-11-16:16:42.log,None
,oe_test_audit_rule_fetch_from_rule,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_rule_fetch_from_rule/2023-10-11-16:01:12.log,None
,oe_test_audit_show_event_list,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_show_event_list/2023-10-11-16:08:47.log,None
,oe_test_audit_track_designated_access,success,same,./oe-rv2309/mugen-riscv_rc5/logs/audit/oe_test_audit_track_designated_access/2023-10-11-16:13:34.log,None
