测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
,oe_test_rrdtool_graphv_07,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graphv_07/2023-08-08-00:28:01.log,
,oe_test_rrdtool_graphv_01,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graphv_01/2023-08-08-00:21:15.log,
,oe_test_rrdtool_graphv_06,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graphv_06/2023-08-08-00:26:51.log,
lxc,oe_test_lxc_ls_monitor,failed,unknown,./mugen-riscv/logs/lxc/oe_test_lxc_ls_monitor/2023-08-08-03:26:01.log,
,oe_test_lxc_device_copy,failed,unknown,./mugen-riscv/logs/lxc/oe_test_lxc_device_copy/2023-08-08-03:28:35.log,
,oe_test_lxc_snapshot_start,failed,unknown,./mugen-riscv/logs/lxc/oe_test_lxc_snapshot_start/2023-08-08-03:29:24.log,
,oe_test_lxc_autostart_cgroup,failed,unknown,./mugen-riscv/logs/lxc/oe_test_lxc_autostart_cgroup/2023-08-08-03:27:44.log,
,oe_test_lxc_create_attach,failed,unknown,./mugen-riscv/logs/lxc/oe_test_lxc_create_attach/2023-08-08-03:25:10.log,
,oe_test_lxc_checkconfig_console,succeed,unknown,./mugen-riscv/logs/lxc/oe_test_lxc_checkconfig_console/2023-08-08-03:31:09.log,
,oe_test_lxc_stop_top,failed,unknown,./mugen-riscv/logs/lxc/oe_test_lxc_stop_top/2023-08-08-03:32:18.log,
,oe_test_lxc_info,failed,unknown,./mugen-riscv/logs/lxc/oe_test_lxc_info/2023-08-08-03:33:09.log,
,oe_test_service_lxc-net,succeed,03fail,./mugen-riscv/logs/lxc/oe_test_service_lxc-net/2023-08-08-03:22:14.log,
,oe_test_lxc_unshare_update,failed,09fail,./mugen-riscv/logs/lxc/oe_test_lxc_unshare_update/2023-08-08-03:30:15.log,
,oe_test_service_lxc,succeed,unknown,./mugen-riscv/logs/lxc/oe_test_service_lxc/2023-08-08-03:23:29.log,
,oe_test_lxc_execute_freeze,succeed,unknown,./mugen-riscv/logs/lxc/oe_test_lxc_execute_freeze/2023-08-08-03:31:46.log,
,oe_test_lxc_unfreeze_destroy,failed,unknown,./mugen-riscv/logs/lxc/oe_test_lxc_unfreeze_destroy/2023-08-08-03:26:51.log,
attr,oe_test_attr,succeed,unknown,./mugen-riscv/logs/attr/oe_test_attr/2023-08-08-11:27:01.log,
PackageKit,oe_test_service_packagekit,succeed,unknown,./mugen-riscv/logs/PackageKit/oe_test_service_packagekit/2023-08-08-10:55:16.log,
,oe_test_packagekit_pkcon,failed,unknown,./mugen-riscv/logs/PackageKit/oe_test_packagekit_pkcon/2023-08-08-10:57:28.log,
,oe_test_service_packagekit-offline-update,succeed,unknown,./mugen-riscv/logs/PackageKit/oe_test_service_packagekit-offline-update/2023-08-08-10:53:17.log,
rsyslog,oe_test_rsyslog_function_postgreSQL,succeed,unknown,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_postgreSQL/journelctl_for_2023-08-08-00:50:14.log,
,oe_test_rsyslog_function_relp,failed,unknown,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_relp/2023-08-08-00:53:00.log,
,oe_test_rsyslog_parameter02,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_parameter02/2023-08-08-01:27:22.log,
,oe_test_rsyslog_abnormal_config,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_abnormal_config/2023-08-08-00:45:57.log,
,oe_test_rsyslog_reliability_operation,succeed,unknown,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_reliability_operation/2023-08-08-02:28:49.log,
,oe_test_rsyslog_function_tcp_firewall,failed,unknown,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_tcp_firewall/2023-08-08-01:25:00.log,
,oe_test_rsyslog_function_udp,failed,unknown,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_udp/2023-08-08-01:26:07.log,
,oe_test_rsyslog_parameter03,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_parameter03/2023-08-08-01:27:35.log,
,oe_test_rsyslog_function_rainerscript,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_rainerscript/systemctl_for_2023-08-08-00:52:45.log,
,oe_test_rsyslog_abnormal_template,failed,unknown,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_abnormal_template/2023-08-08-00:46:07.log,
,oe_test_rsyslog_function_template,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_template/2023-08-08-01:25:45.log,
,oe_test_rsyslog_function_attribute,failed,unknown,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_attribute/2023-08-08-00:46:52.log,
,oe_test_rsyslog_parameter01,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_parameter01/2023-08-08-01:27:07.log,
,oe_test_service_rsyslog,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_service_rsyslog/2023-08-08-02:32:23.log,
,oe_test_rsyslog_function_tcp,failed,unknown,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_tcp/2023-08-08-01:24:17.log,
,oe_test_rsyslog_function_imfile,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_imfile/2023-08-08-00:50:06.log,
,oe_test_rsyslog_function_wildcard,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_wildcard/2023-08-08-01:26:41.log,
,oe_test_rsyslog_reliability_restart,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_reliability_restart/2023-08-08-02:28:55.log,
,oe_test_rsyslog_reliability_lenght,failed,unknown,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_reliability_lenght/2023-08-08-01:57:59.log,
,oe_test_rsyslog_reliability_tcp,failed,unknown,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_reliability_tcp/2023-08-08-02:30:58.log,
,oe_test_rsyslog_function_facility,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_facility/2023-08-08-00:47:50.log,
,oe_test_rsyslog_reliability_network,failed,unknown,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_reliability_network/2023-08-08-01:58:42.log,
,oe_test_rsyslog_function_priority,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_priority/systemctl_for_2023-08-08-00:51:49.log,
,oe_test_rsyslog_function_discard,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_discard/2023-08-08-00:47:34.log,
,oe_test_rsyslog_parameter04,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_parameter04/2023-08-08-01:57:42.log,
,oe_test_rsyslog_function_shell,failed,09fail,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_shell/2023-08-08-00:54:10.log,
,oe_test_rsyslog_function_httpd,failed,unknown,./mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_httpd/2023-08-08-00:48:49.log,
pesign,oe_test_pesign_pesign-client_01,succeed,unknown,./mugen-riscv/logs/pesign/oe_test_pesign_pesign-client_01/2023-08-08-10:16:09.log,
