测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
,oe_test_service_nm-cloud-setup,success,same,./oe-rv2309/mugen-riscv/logs/NetworkManager/oe_test_service_nm-cloud-setup/2023-08-08-10_21_42.log,None
accountsservice,oe_test_service_accounts-daemon,success,same,./oe-rv2309/mugen-riscv/logs/accountsservice/oe_test_service_accounts-daemon/2023-08-09-04:50:12.log,None
acl,oe_test_access_providepam,fail,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_access_providepam/2023-08-08-09_52_11.log,pam_systemd.so不存在
,oe_test_acl_default_kernel_setting,success,03fail,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_default_kernel_setting/2023-08-08-09_52_51.log,None
,oe_test_acl_add_write_permissions,success,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_add_write_permissions/2023-08-08-09_49_53.log,None
,oe_test_acl_backup_recovery,success,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_backup_recovery/2023-08-08-09_53_00.log,None
,oe_test_acl_chacl,success,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_chacl/2023-08-08-09_51_07.log,None
,oe_test_acl_change_mask,success,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_change_mask/2023-08-08-09_50_06.log,None
,oe_test_acl_check_create,success,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_check_create/2023-08-08-09_50_23.log,None
,oe_test_acl_defaulr_rule,success,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_defaulr_rule/2023-08-08-09_50_35.log,None
,oe_test_acl_delete_acl,success,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_delete_acl/2023-08-08-09_53_11.log,None
,oe_test_acl_dir_read,success,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_dir_read/2023-08-08-09_53_56.log,None
,oe_test_acl_dir_write,success,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_dir_write/2023-08-08-09_53_22.log,None
,oe_test_acl_file,success,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_file/2023-08-08-09_52_22.log,None
,oe_test_acl_getfacl,success,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_getfacl/2023-08-08-09_51_29.log,None
,oe_test_acl_only_root_permission,success,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_only_root_permission/2023-08-08-09_50_46.log,None
,oe_test_acl_setfacl,success,same,./oe-rv2309/mugen-riscv/logs/acl/oe_test_acl_setfacl/2023-08-08-09_51_49.log,None
acpid,oe_test_acpid_01,success,same,./oe-rv2309/mugen-riscv/logs/acpid/oe_test_acpid_01/2023-08-09-04:04:06.log,None
,oe_test_acpid_02,success,same,./oe-rv2309/mugen-riscv/logs/acpid/oe_test_acpid_02/2023-08-09-04:05:22.log,None
,oe_test_acpid_03,success,same,./oe-rv2309/mugen-riscv/logs/acpid/oe_test_acpid_03/2023-08-09-04:06:38.log,None
,oe_test_service_acpid,success,same,./oe-rv2309/mugen-riscv/logs/acpid/oe_test_service_acpid/2023-08-09-04:01:14.log,None
,oe_test_socket_acpid,success,same,./oe-rv2309/mugen-riscv/logs/acpid/oe_test_socket_acpid/2023-08-09-04:02:41.log,None
arpwatch,oe_test_service_arpwatch,success,same,./oe-rv2309/mugen-riscv/logs/arpwatch/oe_test_service_arpwatch/2023-08-08-16_19_46.log,None
audit,oe_test_audit_ausearch,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_ausearch/2025-08-09-03:30:50.log,软件未安装
,oe_test_audit_available_disk_space,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_available_disk_space/2023-08-09-03:21:32.log,软件未安装
,oe_test_audit_count_number_of_event,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_count_number_of_event/2023-08-09-03:02:05.log,软件未安装
