测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_power_powertop2tuned_optimize,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_power_powertop2tuned_optimize/2023-08-08-18_51_37.log,无法安装 dmidecode 软件包
,oe_test_power_powertop_powerup,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_power_powertop_powerup/2023-08-08-18_46_53.log,powertop 失败
,oe_test_server_httpd_checkfirewall,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_httpd_checkfirewall/2023-08-08-16_05_33.log,systemd-253-1 问题
,oe_test_server_mariadb_backup,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_mariadb_backup/2023-08-08-15_29_31.log,systemd-253-1 问题
,oe_test_server_mariadb_backupDB,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_mariadb_backupDB/2023-08-08-15_25_58.log,systemd-253-1 问题
,oe_test_server_mariadb_backuptable,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_mariadb_backuptable/2023-08-08-15_21_29.log,systemd-253-1 问题
,oe_test_server_mariadb_copy,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_mariadb_copy/2023-08-08-15_16_55.log,systemd-253-1 问题
,oe_test_server_mariadb_dump,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_mariadb_dump/2023-08-08-15_12_22.log,systemd-253-1 问题
,oe_test_server_mariadb_dumpMulDB,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_mariadb_dumpMulDB/2023-08-08-15_08_10.log,systemd-253-1 问题
,oe_test_server_mariadb_loadfile,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_mariadb_loadfile/2023-08-08-14_58_53.log,systemd-253-1 问题
,oe_test_server_mariadb_onlinebackup,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_mariadb_onlinebackup/2023-08-08-14_53_48.log,systemd-253-1 问题
,oe_test_server_mariadb_stop,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_mariadb_stop/2023-08-08-14_48_45.log,systemd-253-1 问题
,oe_test_server_mysql,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_mysql/2023-08-08-14_17_48.log,测试超时，手动重测通过
,oe_test_server_openssh_secure,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_openssh_secure/2023-08-08-13_52_50.log,测试失败
,oe_test_server_squid_ip,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_squid_ip/2023-08-08-13_09_40.log,systemd-253-1 问题
