测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_storage_fileCMD_cat,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_fileCMD_cat/2023-09-13-10:04:51.log,x86 fail
,oe_test_storage_DevMgmt_swap,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_DevMgmt_swap/2023-09-13-10:25:07.log,x86 fail
,oe_test_storage_lvm_set_lvconvert_raid1,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_set_lvconvert_raid1/2023-09-13-13:43:13.log,x86 fail
,oe_test_storage_diskpartiton_view_fdisk,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_diskpartiton_view_fdisk/2023-09-13-10:04:41.log,x86 fail
,oe_test_storage_lvm_set_lvconvert_volume,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_set_lvconvert_volume/2023-09-13-12:12:57.log,x86 fail
,oe_test_storage_lvm_specify_size,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_specify_size/2023-09-13-13:13:08.log,x86 fail
,oe_test_storage_mount_UUID,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_mount_UUID/2023-09-13-10:17:24.log,x86 fail
,oe_test_storage_mount_umount,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_mount_umount/2023-09-13-10:09:32.log,x86 fail
,oe_test_storage_lvm_split_VG,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_split_VG/2023-09-13-15:43:35.log,x86 fail
,oe_test_storage_lvm_add_VG,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_add_VG/2023-09-13-09:59:39.log,x86 fail
,oe_test_storage_longname_list,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_longname_list/2023-09-13-10:16:33.log,x86 fail
,oe_test_storage_Mutipath_dmsetup,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_Mutipath_dmsetup/2023-09-13-09:59:29.log,x86 fail
