测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
bluez,oe_test_service_bluetooth,success,same,./oe-rv2309/mugen-riscv/logs/bluez/oe_test_service_bluetooth/2023-08-09-04:34:26.log,None
,oe_test_service_bluetooth-mesh,success,same,./oe-rv2309/mugen-riscv/logs/bluez/oe_test_service_bluetooth-mesh/2023-08-09-04:34:13.log,None
cachefilesd,oe_test_service_cachefilesd,fail,same/diff,./oe-rv2309/mugen-riscv/logs/cachefilesd/oe_test_service_cachefilesd/2023-08-09-04:52:37.log,/dev/cachefiles 文件不存在导致 cachefilesd.service 启动失败
cloud-init,oe_test_service_cloud-config,success,same,./oe-rv2309/mugen-riscv/logs/cloud-init/oe_test_service_cloud-config/2023-08-09-03:50:59.log,None
,oe_test_service_cloud-final,success,same,./oe-rv2309/mugen-riscv/logs/cloud-init/oe_test_service_cloud-final/2023-08-09-03:54:58.log,None
,oe_test_service_cloud-init,success,same,./oe-rv2309/mugen-riscv/logs/cloud-init/oe_test_service_cloud-init/2023-08-09-03:57:10.log,None
,oe_test_service_cloud-init-local,success,same,./oe-rv2309/mugen-riscv/logs/cloud-init/oe_test_service_cloud-init-local/2023-08-09-03:56:04.log,None
,oe_test_target_cloud-config,success,same,./oe-rv2309/mugen-riscv/logs/cloud-init/oe_test_target_cloud-config/2023-08-09-03:58:20.log,None
,oe_test_target_cloud-init,success,same,./oe-rv2309/mugen-riscv/logs/cloud-init/oe_test_target_cloud-init/2023-08-09-03:58:46.log,None
cmake,oe_test_ccmake,fail,same,./oe-rv2309/mugen-riscv/logs/cmake/oe_test_ccmake/2023-08-09-03:44:59.log,expect问题导致无法正常测试，在2303上两种架构均出现此问题，可能需要手动执行脚本检测缺陷
,oe_test_ccmake3,fail,same,./oe-rv2309/mugen-riscv/logs/cmake/oe_test_ccmake3/2023-08-09-03:46:47.log,expect问题导致无法正常测试，在2303上两种架构均出现此问题，可能需要手动执行脚本检测缺陷
,oe_test_cmake,success,same,./oe-rv2309/mugen-riscv/logs/cmake/oe_test_cmake/2023-08-09-03:48:34.log,None
,oe_test_cmake3,success,same,./oe-rv2309/mugen-riscv/logs/cmake/oe_test_cmake3/2023-08-09-03:51:22.log,None
,oe_test_cpack,success,same,./oe-rv2309/mugen-riscv/logs/cmake/oe_test_cpack/2023-08-09-03:54:11.log,None
,oe_test_cpack3,success,same,./oe-rv2309/mugen-riscv/logs/cmake/oe_test_cpack3/2023-08-09-03:56:25.log,None
